order_id,customer_id,product_id,category,is_alexa_ordered,order_time_stamp,order_date,order_hour_of_day,cancel_hour_of_day,return_date,cancel_time_stamp
0,10000664,vnBDut2u7xbOLzKC,Grocery and Gourmet Food,0.0,2016-01-13 09:47:50,2016-01-13,9,,,
1,10000664,8xDS8EwImpxBYDmi,Home and Kitchen,0.0,2016-01-02 19:36:43,2016-01-02,19,,,
2,10000664,fCNWLZ16EKCyUiIM,Grocery and Gourmet Food,0.0,2016-01-12 06:32:09,2016-01-12,6,,,
3,10000664,BYj6nW4IJdGaETlh,Grocery and Gourmet Food,0.0,2016-01-09 06:56:03,2016-01-09,6,,,
4,10000664,oqZFwnfcLSsLUsx4,"Clothing, Shoes and Jewelry",0.0,2016-01-11 21:06:02,2016-01-11,21,,,
5,10000664,wnqGy9Lz2jved6eL,Home and Kitchen,0.0,2016-01-02 04:21:25,2016-01-02,4,,,
6,10000664,LibQbzLqwVIxqZwE,Home and Kitchen,0.0,2016-01-05 15:41:33,2016-01-05,15,,,
7,10000664,Du0GJCxB6IG6OCEE,Home and Kitchen,0.0,2016-01-08 09:06:47,2016-01-08,9,,2016-01-14,
8,10000664,3zpJUIikpfkVAyHk,Home and Kitchen,0.0,2016-01-10 08:47:41,2016-01-10,8,,,
9,10000664,rpy7e2CsjYyeStjb,Electronics,0.0,2016-01-07 09:38:41,2016-01-07,9,,,
10,10000664,G46KvK9piJaaLr6s,Home and Kitchen,0.0,2016-01-03 05:00:39,2016-01-03,5,,,
11,10000664,ybZQ8ZBUsk46QM7A,"Clothing, Shoes and Jewelry",0.0,2016-01-05 01:53:51,2016-01-05,1,,,
12,10000664,zk8otyb4AABVYzxX,Grocery and Gourmet Food,0.0,2016-01-09 07:34:40,2016-01-09,7,,,
13,10000664,Q6RotTpZHoE1cJRS,Home and Kitchen,1.0,2016-01-11 03:44:07,2016-01-11,3,,,
14,10013939,jRo4e0h3iwgKhXcF,Electronics,0.0,2016-01-14 16:51:47,2016-01-14,16,,,
15,10013939,zWfN7DJ8IafOEtf0,"Clothing, Shoes and Jewelry",0.0,2016-01-14 17:12:37,2016-01-14,17,,,
16,10013939,RPOhJ5nddIK58MtO,Grocery and Gourmet Food,0.0,2016-01-09 01:50:08,2016-01-09,1,,,
17,10013939,MTioa6pTnoSZjU5j,Home and Kitchen,0.0,2016-01-14 10:38:08,2016-01-14,10,,,
